Index,Car,Price,Overall Rating,Exterior,Interior,Ride Quality
100,Hyundai Kona Electric,  23.84 - 24.03 Lakh,4.5,5,4.5,4.5
101,Honda City Hybrid eHEV,  18.92 - 20.42 Lakh,0,,,
102,BYD e6,  29.15 Lakh,0,,,
103,Toyota Innova Hycross,  18.82 - 30.26 Lakh,4.3,4.3,4.3,4.7
104,Toyota Fortuner,  32.98 - 50.74 Lakh,4.2,4.5,4.2,4.5
105,Jeep Compass,  19.27 - 32.67 Lakh,3.7,4,3.9,3.7
106,Kia Carnival,  25.48 - 35.48 Lakh,5,4.5,5,5
107,Jeep Meridian,  27.75 - 38.10 Lakh,0,,,
108,Skoda Kodiaq,  37.49 - 41.39 Lakh,0,,,
109,BYD Atto 3,  33.99 - 34.49 Lakh,5,5,5,5
110,Skoda Superb,  30.49 - 37.27 Lakh,4,4.2,4.6,4.3
111,MG Gloster,  32.60 - 43.08 Lakh,3.3,4,4.3,4.3
112,Toyota Hilux,  30.41 - 37.90 Lakh,5,5,5,5
113,Hyundai Tucson,  28.63 - 35.46 Lakh,0,,,
114,Volkswagen Tiguan,  34.18 - 34.70 Lakh,5,5,5,5
115,Citroen C5 Aircross,  37.17 Lakh,0,,,
116,Isuzu MU-X,  34.94 - 37.90 Lakh,0,,,
117,Mercedes-Benz A-Class Limousine,  45.80 - 47.00 Lakh,5,5,5,5
118,Toyota Fortuner,  32.98 - 50.74 Lakh,4.2,4.5,4.2,4.5
119,BMW X1,  45.90 - 50.89 Lakh,0,,,
120,BMW 2 Series Gran Coupe,  41.49 - 45.50 Lakh,5,5,4.5,4.5
121,Toyota Fortuner Legender,  43.22 - 46.94 Lakh,5,5,5,5
122,Audi A4,  43.81 - 51.85 Lakh,3.9,3.5,3.4,3.4
123,Skoda Kodiaq,  37.49 - 41.39 Lakh,0,,,
124,MG Gloster,  32.60 - 43.08 Lakh,3.3,4,4.3,4.3
125,Audi Q3,  45.65 - 51.24 Lakh,5,5,5,5
126,MINI Cooper,  29.90 - 43.90 Lakh,4,,,
127,Toyota Camry,  46.17 Lakh,0,,,
128,Hyundai Ioniq 5,  45.95 Lakh,0,,,
129,MINI Countryman,  34.92 - 47.40 Lakh,4,,,
130,Volvo XC40,  46.40 Lakh,0,,,
131,Mercedes-Benz GLA,  48.46 - 52.66 Lakh,0,,,
132,Land Rover Range Rover Velar,  93.00 Lakh,0,,,
133,BMW X5,  93.90 Lakh - 1.07 Crore,0,,,
134,BMW M2,  98.00 Lakh,0,,,
135,BMW Z4,  89.30 Lakh,0,,,
136,Mercedes-Benz AMG A45 S,  92.50 Lakh,0,,,
137,BMW X3 M40i,  86.50 Lakh,0,,,
138,Toyota Fortuner,  32.98 - 50.74 Lakh,4.2,4.5,4.2,4.5
139,Land Rover Defender,  76.57 Lakh - 2.30 Crore,0,,,
140,BMW 3 Series Gran Limousine,  58.90 - 60.50 Lakh,0,,,
141,Land Rover Range Rover Velar,  72.61 Lakh - 1.32 Crore,0,,,
142,BMW M340i,  69.20 Lakh,0,,,
143,Volvo XC40 Recharge,  56.90 Lakh,0,,,
144,Jeep Wrangler,  60.60 - 64.60 Lakh,0,,,
145,Audi A4,  43.81 - 51.85 Lakh,3.9,3.5,3.4,3.4
146,Lexus ES,  56.53 - 67.95 Lakh,0,,,
147,Volvo XC60,  67.50 Lakh,0,,,
148,Land Rover Range Rover Evoque,  59.03 - 72.09 Lakh,5,4,4,5
149,Jaguar F-Type,  97.93 Lakh - 2.61 Crore,5,4.5,4.5,5
150,Audi Q3,  45.65 - 51.24 Lakh,5,5,5,5
151,Volvo S90,  67.90 Lakh,0,,,
152,BMW X5,  93.90 Lakh - 1.07 Crore,0,,,
153,Mercedes-Benz AMG SL55 Roadster,  2.35 Crore,0,,,
154,Mercedes-Benz G-Class,  2.55 Crore,0,,,
155,Toyota Land Cruiser,  2.10 Crore,0,,,
156,Land Rover Defender,  76.57 Lakh - 2.30 Crore,0,,,
157,Land Rover Range Rover,  2.39 - 4.17 Crore,0,,,
158,Lamborghini Urus Performante,  4.18 - 4.22 Crore,0,,,
159,Jaguar F-Type,  97.93 Lakh - 2.61 Crore,5,4.5,4.5,5
160,BMW X7,  1.22 - 1.25 Crore,0,,,
161,Porsche 911,  1.84 - 3.34 Crore,4,,,
162,Lamborghini Huracan STO,  4.99 Crore,0,,,
163,Porsche 718,  85.95 Lakh - 2.74 Crore,0,,,
164,Porsche Cayenne,  1.19 - 1.93 Crore,4,,,
165,Lamborghini Huracan Evo,  2.84 - 4.10 Crore,4.1,4,3.8,4.2
166,BMW 7 Series,  1.70 Crore,0,,,
167,BMW i7,  1.95 Crore,0,,,
168,Land Rover Range Rover Sport,  1.64 - 1.84 Crore,0,,,
169,Aston Martin DBX,  3.82 - 4.63 Crore,0,,,
170,Porsche Macan,  88.06 Lakh - 1.53 Crore,0,,,
171,BMW XM,  2.60 Crore,0,,,
